,0.8,1.0
A1,340,660
B1,440,680
C1,640,780
D1,620,600
E1,640,840
F1,580,780
G1,620,780
H1,480,600
A2,350,580
B2,280,540
C2,460,700
D2,440,660
E2,620,780
F2,780,1020
G2,420,820
H2,420,660
A3,380,660
B3,300,620
C3,500,800
D3,580,900
E3,590,940
F3,580,900
G3,420,620
H3,420,700
A4,320,600
B4,280,560
C4,360,700
D4,400,720
E4,460,740
F4,400,680
G4,400,680
H4,380,720
A5,380,680
B5,300,620
C5,280,540
D5,420,760
E5,560,840
F5,400,700
G5,520,840
H5,400,860
A6,10,x
B6,380,620
C6,360,660
D6,440,780
E6,460,860
F6,580,x
G6,280,x
H6,300,560
A7,300,600
B7,280,620
C7,380,680
D7,280,560
E7,460,840
F7,440,560
G7,420,820
H7,460,900
A8,300,600
B8,300,560
C8,440,560
D8,340,620
E8,460,800
F8,400,660
G8,380,720
H8,380,600
A9,360,660
B9,340,660
C9,320,640
D9,420,820
E9,380,680
F9,320,600
G9,400,760
H9,340,600
A10,460,x
B10,320,x
C10,360,680
D10,400,680
E10,440,680
F10,440,760
G10,400,720
H10,300,600
A11,360,680
B11,360,600
C11,10,x
D11,260,520
E11,280,520
F11,10,x
G11,320,600
H11,360,620
A12,340,300
B12,340,300
C12,460,660
D12,280,300
E12,320,780
F12,280,820
G12,220,520
H12,520,760
